product_name,brand,price,wifi_version,net_port,comment_star,user_comment,collect_time
ZTE中兴AX3000M巡天版wifi6无线电竞路由器千兆端口双频家用全屋大中华户高速光纤穿墙为游戏智能子母mesh5G,中兴,139.77,WiFi6,全千兆网口,5,甜**酱 2026年5月8日已购：标准配置 / AX3000巡天版【超千兆满血Wifi6丨穿墙王丨网易UU加速】 0 1 质量不错 收到就安装了 比之前四根天线的网速快多了 整体很满意,2026-06-01 20:49:21
ZTE中兴AX3000M巡天版wifi6无线电竞路由器千兆端口双频家用全屋大中华户高速光纤穿墙为游戏智能子母mesh5G,中兴,139.77,WiFi6,全千兆网口,4,欧**石 2026年5月7日已购：标准配置 / AX3000巡天版【超千兆满血Wifi6丨穿墙王丨网易UU加速】 0 0 中兴路由器，网络无线连接质量很好，手机设置很简单，支持国产路由器！,2026-06-01 20:49:21
ZTE中兴AX3000M巡天版wifi6无线电竞路由器千兆端口双频家用全屋大中华户高速光纤穿墙为游戏智能子母mesh5G,中兴,139.77,WiFi6,全千兆网口,5,和**1 2026年5月13日已购：标准配置 / AX3000巡天版【超千兆满血Wifi6丨穿墙王丨网易UU加速】 0 0 这款路由器真不错！Wi-Fi 6速度快，性能稳定，拿回家试用了两天，链接流畅，穿墙能力强，自研芯片稳定，多设备不卡，百元价位性价比拉满，家用很合适，好评！,2026-06-01 20:49:21
ZTE中兴AX3000M巡天版wifi6无线电竞路由器千兆端口双频家用全屋大中华户高速光纤穿墙为游戏智能子母mesh5G,中兴,139.77,WiFi6,全千兆网口,5,用**4 2026年5月22日已购：标准配置 / AX3000巡天版【超千兆满血Wifi6丨穿墙王丨网易UU加速】 0 0 之前家里的路由器网速很慢，后来宽带师傅推荐这款中信路由器买回来装上了网速超级快，打游戏也不卡顿，进房间也不用切换网络了，没想到这款路由器这么好用，推荐大家购买,2026-06-01 20:49:21
ZTE中兴AX3000M巡天版wifi6无线电竞路由器千兆端口双频家用全屋大中华户高速光纤穿墙为游戏智能子母mesh5G,中兴,139.77,WiFi6,全千兆网口,5,匿名买家 2026年4月16日已购：标准配置 / AX3000巡天版【超千兆满血Wifi6丨穿墙王丨网易UU加速】 0 1 这个尺寸正正好能塞进弱电箱，信号也非常稳定，覆盖面广，不愧是大品牌，有需要还会再来购买。,2026-06-01 20:49:21
ZTE中兴AX3000M巡天版wifi6无线电竞路由器千兆端口双频家用全屋大中华户高速光纤穿墙为游戏智能子母mesh5G,中兴,139.77,WiFi6,全千兆网口,5,普**达 2026年5月2日已购：标准配置 / AX3000巡天版【超千兆满血Wifi6丨穿墙王丨网易UU加速】 0 0 收到货了，包装完好无损，使用过程中性能很稳定。穿墙效果也好，很满意质量可靠有保证正品正品,2026-06-01 20:49:21
ZTE中兴AX3000M巡天版wifi6无线电竞路由器千兆端口双频家用全屋大中华户高速光纤穿墙为游戏智能子母mesh5G,中兴,139.77,WiFi6,全千兆网口,5,匿名买家 2026年4月30日已购：标准配置 / 全屋组网套餐[巡天*2]【一键组网丨全屋超速网络丨信号稳定不断流】 0 0 非常好的一款主流路由器，外观好看，覆盖也 很大，放二楼去邻居家也能上网，扛扛的。上网 传输也挺快的。一回到家只要一打开手机立马 连接上。,2026-06-01 20:49:21
ZTE中兴AX3000M巡天版wifi6无线电竞路由器千兆端口双频家用全屋大中华户高速光纤穿墙为游戏智能子母mesh5G,中兴,139.77,WiFi6,全千兆网口,4,喜**安 2026年5月26日已购：标准配置 / AX3000巡天版【超千兆满血Wifi6丨穿墙王丨网易UU加速】 0 0 我家的网络一直很慢很慢，电信人员来了，要我买一个新的路由器，我小孩给我选择了中信，今天安装上去了哇，效果太好了，网速飙升电信人员跟我说我买的这一款它是有跟踪功能随着人的使用它的这个WiFi会推向哪一边太神奇了。,2026-06-01 20:49:21
ZTE中兴AX3000M巡天版wifi6无线电竞路由器千兆端口双频家用全屋大中华户高速光纤穿墙为游戏智能子母mesh5G,中兴,139.77,WiFi6,全千兆网口,5,"紫**l 2026年5月22日已购：标准配置 / AX3000巡天版【超千兆满血Wifi6丨穿墙王丨网易UU加速】 0 0 很好用，一次性买了两台,优惠力度大，喜欢，网络也稳定",2026-06-01 20:49:21
ZTE中兴AX3000M巡天版wifi6无线电竞路由器千兆端口双频家用全屋大中华户高速光纤穿墙为游戏智能子母mesh5G,中兴,139.77,WiFi6,全千兆网口,4,匿名买家 2026年5月21日已购：标准配置 / AX3000巡天版【超千兆满血Wifi6丨穿墙王丨网易UU加速】 0 0 中兴AX3000路由器太棒啦！外观简约时尚，摆在家里很搭。信号覆盖超广，穿墙能力一流，各个房间信号都满格。网速飞快，设备同时连接也不卡顿，看高清视频、玩游戏超流畅。而且设置简单易懂，轻松上手，真是家庭网络好帮手，必须好评！,2026-06-01 20:49:21
